# Claim-Evidence Ledger — franken-engine.claim-evidence-ledger.v1 (CEI H.1, bd-sde5e.8.1)
# Merkle Mountain Range (RFC-6962) root over one leaf per claim:
#   (claim_id, asserted_state, evidence_tier, artifact_content_hash, receipt_hash)
# Editing a matrix row or a committed evidence manifest changes a leaf, hence the
# root: the gate then fails closed until the root is regenerated against the change.
# Regenerate (only after an intentional, evidence-consistent change):
#   cargo run -q -p frankenengine-engine --bin franken_claim_evidence_ledger -- generate
# Verify (gate): ./scripts/run_claim_evidence_ledger_gate.sh ci
schema franken-engine.claim-evidence-ledger.v1
as_of_unix 1781986547
root 1007ad7b4854f57647a70c577837612b34ed9adb9744143676c578340a05cbb2
leaf_count 26
leaves_digest bcc059cd372d96d40aa83848526ef8d55aab78d46e46c9145e953982b5af589a
# leaf <claim_id> <asserted_state> <evidence_tier> <artifact_content_hash> <receipt_hash> <leaf_hash>
leaf FE-CLAIM-001 observed reproduced 4ca4c82afc491821e7febe201c10b145fb5cd3f6d29fee1fb55156e6da975ebf f6ff122237e2546506b69a09851829fc8562e7a05a572206d83b8bed1188880c 97d925af8a5145a4b086954b8dfb7007d019eff20bd6861e9204ec298cc9464b
leaf FE-CLAIM-002 observed reproduced 0b8b6fd7924188278f882e61bd1bdafdc68462528363722be5a1e24e604f8954 9fc76eb2c4b74ca0c5f1acde0804fa3e69e684de2b7736720b0c133571a5916d 9c748437ab59732a3127b163fdc4ba0971d64e47d9936f3947195e101ad55b22
leaf FE-CLAIM-003 observed reproduced f35e0beeef473756ab3d61616bdf7be7933634aa1cf32e8c355f5d133c995561 99d9461f70539c75caaaf54aa9067202fee302c0ede11e858f70b2e34c4ea7ca ce7fe56242238bf61a72e018ee292aa95287d5e1f2fc1de4f3c072c0432d04e7
leaf FE-CLAIM-004 observed reproduced b5d11d448914012620c5136493c9f798f51c14cd62d0d75180af1e9ce281b5af 0181251d2f2bc621711494572f1c6eb20ffb47aacd7d1705cb3829f883255c60 de254b57f3ab00fc107506b8070b42338c5b684b742676c2fac73dc4a52d76d6
leaf FE-CLAIM-004-TEE hypothesis unbacked 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 d65b5ff58c360f3319d291b2a8d51b844425aee1007d0bc1c4549700c7a5eeb6
leaf FE-CLAIM-005 observed reproduced a0cd35e9c09866321f45e52d3a1d74697b64d03498daa8ac4b2abadec83c87ca f631d8d3df62f5ccd23432e0c9cfc0f3d4d24c57ec437f8e00cb116804aba491 38a2697e7ecce40bd31f81c5732d3d98324731d6ce30f934a2eba1a0ef9e080b
leaf FE-CLAIM-006 observed reproduced 9d4e57267e50188f215ab89dafa55e0d7c79326c07023886a1ddcf9048c47736 4eb71a2c0db0523a2fc1ef71ff51e037f03606383abeeb6bd801e03b4438ac4d f37ba311e5c1468c0b204341e7da2a8ead21c56f640502deb2cb99eba5e1190d
leaf FE-CLAIM-007 observed reproduced 2ef764f865edfa93c90f711e0c587c63fc5b7b50932b58173fec8bd51305d703 e98713e2f3867f3e632ca597019a980096a3365cea3edb80b861a8c16e813bed 0a69cc55e4166e3396c10dae176addbc3165d54f6b9100dd2208bd5759388c0f
leaf FE-CLAIM-008 observed reproduced cef1a0dab7689649c5a3cd609a426808ea88da446130505f49e0adf2830fc97b d419bf31c74779110cf6bb80ac20bc6e2c0b326ee85e0ea553a35850f1ffab03 495b16ad3f14243a76890c9808435aab7240e8def3227ee5621d5a07ec327a08
leaf FE-CLAIM-009 observed reproduced aefb123a00b6e9bb2dd0e479a643867c01098b32cb9ebd94830eb9266a02ecb8 8f18245f7a42c2d04b616255915262a7433c8db7f93fa677435b81c95f8b8390 db2446b710f76122cc923fc78b5cd10a7aa471e83506a1b46a9b6dd1532cfe4a
